,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
0,177,45,177,142,222,45,45,45,177,177,177,177,174,False,False,False,False,False,False,False,False,False,False,False,False
1,143,17,221,192,208,17,17,17,221,143,143,143,68,False,False,False,False,False,False,False,False,False,False,False,False
2,105,7,105,167,7,7,7,7,105,105,105,105,17,False,False,False,False,False,False,False,False,False,False,False,False
3,220,173,242,119,77,173,173,173,242,220,220,220,110,False,False,False,False,False,False,False,False,False,False,False,False
4,149,149,149,167,206,149,149,149,20,149,149,149,29,False,False,False,False,False,False,False,False,False,False,False,False
5,188,160,188,154,199,188,160,160,188,188,188,188,160,False,True,False,False,False,False,True,True,False,False,False,False
6,248,229,248,229,248,248,229,229,248,248,248,248,33,False,False,False,False,False,False,False,False,False,False,False,False
7,229,229,229,229,229,229,229,229,229,229,229,229,205,False,False,False,False,False,False,False,False,False,False,False,False
8,269,129,269,228,236,129,129,129,269,269,269,269,29,False,False,False,False,False,False,False,False,False,False,False,False
9,143,143,143,143,202,143,143,143,143,143,143,143,202,False,False,False,False,True,False,False,False,False,False,False,False
10,129,129,129,199,199,129,129,129,129,129,129,129,198,False,False,False,False,False,False,False,False,False,False,False,False
11,259,259,259,199,259,259,259,259,259,259,259,259,199,False,False,False,True,False,False,False,False,False,False,False,False
12,161,161,161,0,161,161,161,161,161,161,161,161,161,True,True,True,False,True,True,True,True,True,True,True,True
13,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
14,15,15,15,80,15,15,15,15,15,15,15,15,80,False,False,False,True,False,False,False,False,False,False,False,False
15,107,17,24,94,17,22,22,17,24,107,107,107,234,False,False,False,False,False,False,False,False,False,False,False,False
16,89,89,89,86,236,89,89,89,89,89,89,89,176,False,False,False,False,False,False,False,False,False,False,False,False
17,215,68,215,68,84,154,154,68,215,215,215,215,68,False,True,False,True,False,False,False,True,False,False,False,False
18,94,94,94,94,122,6,6,94,94,94,94,94,94,True,True,True,True,False,False,False,True,True,True,True,True
19,247,229,247,229,46,229,229,229,247,247,247,247,120,False,False,False,False,False,False,False,False,False,False,False,False
20,52,52,52,157,23,253,253,52,52,52,52,52,157,False,False,False,True,False,False,False,False,False,False,False,False
21,200,200,200,119,119,200,200,200,200,200,200,200,119,False,False,False,True,True,False,False,False,False,False,False,False
22,1,1,1,1,262,1,1,1,1,1,1,1,228,False,False,False,False,False,False,False,False,False,False,False,False
23,24,24,24,24,222,89,89,24,24,24,24,24,222,False,False,False,False,True,False,False,False,False,False,False,False
24,236,236,236,32,44,44,44,236,236,236,236,236,32,False,False,False,True,False,False,False,False,False,False,False,False
25,215,215,215,84,206,84,84,215,215,215,215,215,206,False,False,False,False,True,False,False,False,False,False,False,False
26,57,57,57,259,259,259,259,57,57,57,57,57,259,False,False,False,True,True,True,True,False,False,False,False,False
27,247,247,247,247,247,247,247,247,247,247,247,247,247,True,True,True,True,True,True,True,True,True,True,True,True
28,143,0,143,96,260,143,143,0,143,143,143,143,96,False,False,False,True,False,False,False,False,False,False,False,False
29,0,0,0,94,259,0,0,0,0,0,0,0,61,False,False,False,False,False,False,False,False,False,False,False,False
30,105,7,105,119,199,105,105,105,105,105,105,105,98,False,False,False,False,False,False,False,False,False,False,False,False
31,221,215,221,155,221,221,221,221,221,221,221,221,155,False,False,False,True,False,False,False,False,False,False,False,False
32,143,143,143,143,77,143,143,143,143,143,143,143,77,False,False,False,False,True,False,False,False,False,False,False,False
33,215,215,215,119,10,89,89,89,215,215,215,215,119,False,False,False,True,False,False,False,False,False,False,False,False
