,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[ 67 174 177],[177 174 142],[ 67 174 177],[182 177 142],[ 89  90 222],[177 174 142],[177 174 142],[177 174 142],[ 67 174 177],[ 67 174 177],[ 67 174 177],[ 67 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[221 192 143],[221  17  68],[143 269 221],[143  68 192],[271  90 208],[221  17  68],[221  17  68],[221  17  68],[269 192 221],[221 192 143],[221 192 143],[221 192 143],68,False,True,False,True,False,True,True,True,False,False,False,False
2,[129  17 105],[105 129   7],[ 17 129 105],[105 167 199],[ 92 271   7],[105 129   7],[105 129   7],[105 129   7],[ 17 129 105],[129  17 105],[129  17 105],[129  17 105],17,True,False,True,False,False,False,False,False,True,True,True,True
3,[119 242 220],[242 119 173],[220 119 242],[173 110 119],[91 92 77],[242 119 173],[242 119 173],[242 119 173],[220 242 119],[119 242 220],[119 242 220],[119 242 220],110,False,False,False,True,False,False,False,False,False,False,False,False
4,[ 10  20 149],[167  20 149],[ 10  20 149],[ 20 167 149],[ 91 206 271],[167  20 149],[167  20 149],[167  20 149],[ 10  20 149],[ 10  20 149],[ 10  20 149],[ 10  20 149],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[154 188 160],[195 188 160],[160 188 154],[195 199 154],[271  91 199],[160 188 154],[195 188 160],[195 188 160],[160 188 154],[154 188 160],[154 188 160],[154 188 160],160,True,True,True,False,False,True,True,True,True,True,True,True
6,[253 248 229],[253 229 248],[253 248 229],[248 244 229],[ 91 271 248],[253 229 248],[253 229 248],[253 229 248],[253 248 229],[253 248 229],[253 248 229],[253 248 229],33,False,False,False,False,False,False,False,False,False,False,False,False
7,[ 57 124 229],[ 57 124 229],[ 57 124 229],[ 91  86 229],[ 91  86 229],[ 57 229 124],[ 57 124 229],[ 57 124 229],[ 57 229 124],[ 57 124 229],[ 57 124 229],[ 57 124 229],205,False,False,False,False,False,False,False,False,False,False,False,False
8,[161 129 269],[161 269 129],[161 129 269],[ 91 129 228],[ 90  91 236],[161 269 129],[161 269 129],[161 269 129],[161 129 269],[161 129 269],[161 129 269],[161 129 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[202 221 143],[221 143 202],[202 221 143],[ 92 271 143],[ 90  91 202],[202 221 143],[221 143 202],[221 143 202],[202 221 143],[202 221 143],[202 221 143],[202 221 143],202,True,True,True,False,True,True,True,True,True,True,True,True
