,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[ 67 174 177],[174 177 161],[ 67 174 177],[129 177 142],[ 91  90 269],[174 177 161],[174 177 161],[174 177 161],[ 67 174 177],[ 67 174 177],[ 67 174 177],[ 67 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[221  17 143],[ 17 192  68],[203 221  17],[143  68 192],[ 90  91 202],[ 17 192  68],[ 17 192  68],[ 17 192  68],[203 221  17],[221  17 143],[221  17 143],[221  17 143],68,False,True,False,True,False,True,True,True,False,False,False,False
2,[105 191  17],[105 129 191],[105 191  17],[105 129 167],[271  91 129],[105 129 191],[105 129 191],[105 129 191],[105 191  17],[105 191  17],[105 191  17],[105 191  17],17,True,False,True,False,False,False,False,False,True,True,True,True
3,[119 220 242],[242 119 173],[220 119 242],[110 242 119],[ 91  92 164],[242 119 173],[242 119 173],[242 119 173],[220 119 242],[119 220 242],[119 220 242],[119 220 242],110,False,False,False,True,False,False,False,False,False,False,False,False
4,[161  20 149],[149  20 161],[161  20 149],[149 167  20],[ 90  91 185],[149  20 161],[149  20 161],[149  20 161],[161  20 149],[161  20 149],[161  20 149],[161  20 149],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[195 188 160],[188 195 160],[195 188 160],[ 92 195 154],[271  91 199],[188 195 160],[188 195 160],[188 195 160],[195 188 160],[195 188 160],[195 188 160],[195 188 160],160,True,True,True,False,False,True,True,True,True,True,True,True
6,[253 248 229],[229 244 253],[253 248 229],[253 229 244],[92 91 30],[244 229 248],[229 244 253],[229 244 253],[253 248 229],[253 248 229],[253 248 229],[253 248 229],33,False,False,False,False,False,False,False,False,False,False,False,False
7,[205 229 124],[ 57 124 229],[205 229 124],[124  57 229],[ 90 271  54],[205 229 124],[ 57 124 229],[ 57 124 229],[205 229 124],[ 57 229 124],[205 229 124],[ 57 229 124],205,True,False,True,False,False,True,False,False,True,False,True,False
8,[129 161 269],[269 129 161],[129 161 269],[236 228 129],[ 90  91 228],[129 161 269],[269 129 161],[269 129 161],[129 161 269],[129 161 269],[129 161 269],[129 161 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[202 221 143],[221 143 202],[202 221 143],[202 208 143],[271  90 208],[202 221 143],[221 143 202],[221 143 202],[202 221 143],[202 221 143],[202 221 143],[202 221 143],202,True,True,True,True,False,True,True,True,True,True,True,True
10,[198 129  57],[198 129  57],[198 129  57],[ 57 129 199],[ 91  92 198],[198 129  57],[198 129  57],[198 129  57],[198 129  57],[198 129  57],[198 129  57],[198 129  57],198,True,True,True,False,True,True,True,True,True,True,True,True
11,[199 164 259],[199 164 259],[199 164 259],[164 199 259],[271  90 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],199,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 92  87 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],161,True,True,True,True,True,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 80  15 188],[ 15 195  85],[195  15 188],[15  1 80],[91 92 32],[188  15 195],[ 15 195  85],[ 15 195  85],[195  15 188],[ 80  15 188],[ 80  15 188],[ 80  15 188],80,True,False,False,True,False,False,False,False,False,True,True,True
15,[107 234  17],[ 24  17 107],[107 234  17],[107 253  94],[ 90  91 107],[107 234  17],[107 234  17],[ 24  17 107],[107 234  17],[107 234  17],[107 234  17],[107 234  17],234,True,False,True,False,False,True,True,False,True,True,True,True
16,[97 89 56],[176  56  89],[ 4 97 56],[ 86  32 176],[271  92 176],[89 56  4],[97 89 56],[176  56  89],[ 4 97 56],[97 89 56],[97 89 56],[97 89 56],176,False,True,False,True,True,False,False,True,False,False,False,False
17,[215 187 157],[187 215  68],[215 187 157],[157 119  68],[91 92 62],[157 187  68],[215 157 187],[187 215  68],[215 187 157],[215 187 157],[215 187 157],[215 187 157],68,False,True,False,True,False,True,False,True,False,False,False,False
18,[ 57 168  94],[ 57 168  94],[ 57 168  94],[122   6  94],[ 91 271  94],[  6 168  94],[ 57 168  94],[ 57 168  94],[ 57 168  94],[ 57 168  94],[ 57 168  94],[ 57 168  94],94,True,True,True,True,True,True,True,True,True,True,True,True
19,[229 103 247],[247 229 103],[229 103 247],[120 103 229],[ 89 271 224],[224 247 103],[103 229 247],[247 229 103],[229 103 247],[229 103 247],[229 103 247],[229 103 247],120,False,False,False,True,False,False,False,False,False,False,False,False
20,[157  52 181],[181   1 253],[157  52 181],[ 52   1 253],[90 91  1],[157  52 181],[157  52 181],[181   1 253],[157  52 181],[157  52 181],[157  52 181],[157  52 181],157,True,False,True,False,False,True,True,False,True,True,True,True
21,[253 156 200],[200 156 253],[119 200 253],[253 200 119],[ 90 271 156],[253 200 119],[253 156 200],[200 156 253],[119 200 253],[253 156 200],[253 156 200],[253 156 200],119,False,False,True,True,False,True,False,False,True,False,False,False
22,[ 75 208   1],[208  75   1],[ 75 208   1],[228  75   1],[ 92 271  75],[208  75   1],[ 75 208   1],[208  75   1],[ 75 208   1],[ 75 208   1],[ 75 208   1],[ 75 208   1],228,False,False,False,True,False,False,False,False,False,False,False,False
23,[ 89 253  24],[ 89  24 253],[ 89 253  24],[122  24 253],[ 89  90 222],[253 222  24],[222 253  24],[ 89  24 253],[ 89 253  24],[ 89 253  24],[ 89 253  24],[ 89 253  24],222,False,False,False,False,True,True,True,False,False,False,False,False
24,[ 44 236  32],[ 44 236  32],[ 44 236  32],[236  44  32],[91 92 32],[ 44 236  32],[ 44  32 236],[ 44 236  32],[ 44 236  32],[ 44 236  32],[ 44 236  32],[ 44 236  32],32,True,True,True,True,True,True,True,True,True,True,True,True
25,[206  84 215],[206  84 215],[206  84 215],[215 206  84],[ 91 206 271],[206  84 215],[206  84 215],[206  84 215],[206  84 215],[206  84 215],[206  84 215],[206  84 215],206,True,True,True,True,True,True,True,True,True,True,True,True
26,[271 259  57],[271 259  57],[271 259  57],[271  57 259],[ 91 271  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],259,True,True,True,True,False,True,True,True,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
