,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,[142 174 177],[ 67 174 142],[142 174 177],[182 228 142],[271  91 129],[ 67 174 142],[ 67 174 142],[ 67 174 142],[142 174 177],[142 174 177],[142 174 177],[142 174 177],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[192 203 232],[269 192 203],[192 232 203],[165  68 192],[ 91  90 269],[269 192 203],[269 192 203],[269 192 203],[202 269 192],[192 203 232],[192 203 232],[192 203 232],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[ 57 258 105],[ 57 258   7],[ 57 167 198],[258 105 167],[271  91 129],[ 57 258   7],[ 57 258   7],[ 57 258   7],[ 57 198 167],[ 57 258 105],[ 57 258 105],[ 57 258 105],17,False,False,False,False,False,False,False,False,False,False,False,False
3,[242 119 220],[173 119 220],[242 119 220],[228 110 119],[ 91  86 110],[173 119 220],[173 119 220],[173 119 220],[242 220 119],[242 119 220],[242 119 220],[242 119 220],110,False,False,False,True,True,False,False,False,False,False,False,False
4,[167 161  10],[206 161  30],[161  10  20],[ 20 206 167],[ 91 271  10],[206 161  30],[206 161  30],[206 161  30],[161  10  20],[167 161  10],[167 161  10],[167 161  10],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[188 160  10],[160  30 188],[160 188  92],[ 92  77 160],[ 91 271  10],[195  10  30],[160  30 188],[160  30 188],[ 92  10 188],[188 160  10],[188 160  10],[188 160  10],160,True,True,True,True,False,False,True,True,False,True,True,True
6,[244 248 229],[ 30 248  33],[244 248 229],[ 33 248 244],[91 92 33],[248 208  30],[ 30 248  33],[ 30 248  33],[244 248 229],[244 248 229],[244 248 229],[244 248 229],33,False,True,False,True,True,False,True,True,False,False,False,False
7,[ 57 229 124],[ 54  57 124],[ 57 124 205],[ 87 205 229],[ 91  86 229],[ 30  57 124],[ 54  57 124],[ 54  57 124],[ 57 124 205],[ 57 229 124],[ 57 229 124],[ 57 229 124],205,False,False,True,True,False,False,False,False,True,False,False,False
8,[228 161 269],[129 161 269],[161 129 269],[ 91 129 228],[ 92  87 161],[236 161 269],[129 161 269],[129 161 269],[161 129 269],[228 161 269],[228 161 269],[228 161 269],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[143 208 202],[202 208 221],[221 208 202],[ 92 271 143],[ 92 271 143],[221 208 202],[202 208 221],[202 208 221],[221 208 202],[143 208 202],[143 208 202],[143 208 202],202,True,True,True,False,False,True,True,True,True,True,True,True
10,[129 198  57],[198 129  57],[129 198  57],[271 129 199],[271  91 199],[129  57 198],[198 129  57],[198 129  57],[129 198  57],[129 198  57],[129 198  57],[129 198  57],198,True,True,True,False,False,True,True,True,True,True,True,True
11,[199 164 259],[199 164 259],[199 164 259],[ 90 259 199],[ 91  92 164],[199 259 164],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],[199 164 259],199,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 93  30 161],[ 93 161  30],[ 93  30 161],[ 90  91 271],[92 91 30],[ 93  30 161],[ 93 161  30],[ 93 161  30],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],161,True,True,True,False,False,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[188  15  80],[ 80 188  15],[ 46 195  80],[228   1  80],[ 90  91 228],[228  80 208],[ 80 188  15],[ 80 188  15],[ 46 195  80],[188  15  80],[188  15  80],[188  15  80],80,True,True,True,True,False,True,True,True,True,True,True,True
15,[ 94  24 107],[269 256 107],[ 94 107  24],[ 24 107  94],[271  91  22],[ 24  94 269],[253 122  89],[269 256 107],[ 94 107  24],[ 94  24 107],[ 94  24 107],[ 94  24 107],234,False,False,False,False,False,False,False,False,False,False,False,False
16,[89 56 97],[ 97  56 176],[ 4 56 97],[ 56 176  86],[271  90  97],[ 89  97 236],[97 92 89],[ 97  56 176],[ 4 56 97],[89 56 97],[89 56 97],[89 56 97],176,False,True,False,True,False,False,False,True,False,False,False,False
17,[187 215 119],[119 215 187],[187 215 119],[ 68 157 119],[91 92 62],[119  60 215],[ 62 154  84],[119 215 187],[187 215 119],[187 215 119],[187 215 119],[187 215 119],68,False,False,False,True,False,False,False,False,False,False,False,False
18,[  6  94 232],[ 75 232  57],[206 232  94],[206  75  94],[ 90  91 232],[ 94 168  57],[259   6 122],[ 75 232  57],[206  94 232],[  6  94 232],[  6  94 232],[  6  94 232],94,True,False,True,True,False,True,False,False,True,True,True,True
19,[224 247 268],[  2 247 268],[224 247 103],[229 224 120],[ 91  86 229],[268 247 120],[247 268 229],[  2 247 268],[224 247 103],[224 247 268],[224 247 268],[224 247 268],120,False,False,False,True,False,True,False,False,False,False,False,False
20,[  1  52 220],[  1 220  52],[220 181  52],[ 52 157   1],[ 90  91 157],[  1 220 236],[ 52 220 253],[  1 220  52],[220 181  52],[  1  52 220],[  1  52 220],[  1  52 220],157,False,False,False,True,True,False,False,False,False,False,False,False
21,[ 28 156 119],[156  28 119],[156  28 119],[ 28 119 246],[ 90  91 253],[ 28 119 156],[200 253  28],[156  28 119],[ 28 156 119],[ 28 156 119],[ 28 156 119],[ 28 156 119],119,True,True,True,True,False,True,False,True,True,True,True,True
22,[228   1 208],[  1 208  75],[228 208   1],[ 75 228   1],[271  91 199],[  1 228 208],[  1 228 208],[  1 208  75],[228 208   1],[228   1 208],[228   1 208],[228   1 208],228,True,False,True,True,False,True,True,False,True,True,True,True
23,[253  89  24],[122  24 253],[253  89  24],[ 89 253  24],[ 90  91 253],[122  89  24],[253  89 122],[122  24 253],[253  89  24],[253  89  24],[253  89  24],[253  89  24],222,False,False,False,False,False,False,False,False,False,False,False,False
24,[ 44  32 236],[ 44  32 236],[ 44  32 236],[271  32  44],[91 92 32],[ 44  32 236],[ 32  44 236],[ 44  32 236],[ 44  32 236],[ 44  32 236],[ 44  32 236],[ 44  32 236],32,True,True,True,True,True,True,True,True,True,True,True,True
25,[ 84 206 215],[ 84 206 215],[206  84 215],[ 91 206  84],[271  90 215],[206  84 215],[206 215  84],[ 84 206 215],[ 84 206 215],[ 84 206 215],[ 84 206 215],[ 84 206 215],206,True,True,True,True,False,True,True,True,True,True,True,True
26,[271 259  57],[271 259  57],[271 259  57],[271  90 259],[ 91 271  57],[271 259  57],[271  57 259],[271 259  57],[271 259  57],[271 259  57],[271 259  57],[271 259  57],259,True,True,True,True,False,True,True,True,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[ 96 260  95],[260  95   0],[ 0 96 95],[181 244  96],[90 91 96],[ 96 208 260],[143   0  95],[260  95   0],[96  0 95],[ 96 260  95],[ 96 260  95],[ 96 260  95],96,True,False,True,True,True,True,False,False,True,True,True,True
29,[232 231  18],[ 18 232 271],[232 231  18],[120  61  94],[90 91  0],[ 18  94 198],[259 154   0],[ 18 232 271],[232 231  18],[232 231  18],[232 231  18],[232 231  18],61,False,False,False,True,False,False,False,False,False,False,False,False
30,[167 105 119],[105 119   7],[ 46 119 105],[157 167 119],[90 91 46],[167 119 164],[119 105 259],[103 105 259],[ 46 119 105],[167 105 119],[167 105 119],[167 105 119],98,False,False,False,False,False,False,False,False,False,False,False,False
31,[206  57 215],[ 54 215  57],[ 57 215 206],[155 206 228],[ 91 271  57],[221 215  57],[ 57 215  62],[206 215  62],[ 57 215 206],[206  57 215],[206  57 215],[206  57 215],155,False,False,False,True,False,False,False,False,False,False,False,False
32,[244 248 215],[244 248 215],[244 248 215],[242 248 244],[90 91 92],[248 221 215],[143 248  92],[143 248  92],[244 248 215],[244 248 215],[244 248 215],[244 248 215],77,False,False,False,False,False,False,False,False,False,False,False,False
