,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
0,[142 177 174],[142 174 177],[142 177 174],[228 182 142],[ 90  91 228],[142 174 177],[142 174 177],[142 174 177],[142 177 174],[142 177 174],[142 177 174],[142 177 174],174,True,True,True,False,False,True,True,True,True,True,True,True
1,[ 17 232 203],[192 203 232],[ 17 232 203],[165  68 192],[271  91 192],[192 203 232],[192 203 232],[192 203 232],[ 17 232 203],[ 17 232 203],[ 17 232 203],[ 17 232 203],68,False,False,False,True,False,False,False,False,False,False,False,False
2,[167 191  17],[129 105 167],[191  17 167],[ 17 105 167],[ 91  90 258],[129 105 167],[129 105 167],[129 105 167],[191  17 167],[167 191  17],[167 191  17],[167 191  17],17,True,False,True,True,False,False,False,False,True,True,True,True
3,[110 119  77],[220 242 119],[110 119  77],[228 119 110],[271  90 259],[220 242 119],[220 242 119],[220 242 119],[110 119  77],[110 119  77],[110 119  77],[110 119  77],110,True,False,True,True,False,False,False,False,True,True,True,True
4,[ 20 167 206],[206 167  20],[259 167 206],[206  20 167],[ 92 167 271],[206 167  20],[206 167  20],[206 167  20],[ 20 206 167],[ 20 167 206],[ 20 167 206],[ 20 167 206],29,False,False,False,False,False,False,False,False,False,False,False,False
5,[188  77 160],[188 160 154],[188  77 160],[195 154 160],[ 92  87 195],[154  77 160],[188 160 154],[188 160 154],[188  77 160],[188  77 160],[188  77 160],[188  77 160],160,True,True,True,True,False,True,True,True,True,True,True,True
6,[ 33 248 244],[253  33 248],[248  33 244],[248  33 244],[92 87 42],[ 33 248 244],[253  33 248],[253  33 248],[248  33 244],[253 248 244],[253 248 244],[253 248 244],33,True,True,True,True,False,True,True,True,True,False,False,False
7,[124 229 205],[229 124 205],[124 229 205],[ 87 229 205],[92 91 30],[124 229 205],[229 124 205],[229 124 205],[124 229 205],[124 229 205],[124 229 205],[124 229 205],205,True,True,True,True,False,True,True,True,True,True,True,True
8,[269 129 228],[236 269 129],[269 129 228],[ 91 129 228],[ 90  91 236],[269 129 228],[236 269 129],[236 269 129],[269 129 228],[269 129 228],[269 129 228],[269 129 228],29,False,False,False,False,False,False,False,False,False,False,False,False
9,[236 221 143],[202 143 221],[236 221 143],[ 92 271 143],[ 90  91 236],[202 221 143],[202 143 221],[202 143 221],[236 221 143],[236 221 143],[236 221 143],[236 221 143],202,False,True,False,False,False,True,True,True,False,False,False,False
10,[129  57 198],[ 57 198 129],[ 57 198 129],[271  91 129],[271  91 199],[ 57 198 129],[ 57 198 129],[ 57 198 129],[ 57 198 129],[129  57 198],[129  57 198],[129  57 198],198,True,True,True,False,False,True,True,True,True,True,True,True
11,[ 90 259 164],[ 90 164 259],[ 90 164 259],[271  90 259],[271  90 259],[ 90 164 259],[ 90 164 259],[ 90 164 259],[ 90 164 259],[ 90 259 164],[ 90 259 164],[ 90 259 164],199,False,False,False,False,False,False,False,False,False,False,False,False
12,[ 93  30 161],[ 93 161  30],[ 93  30 161],[ 90  91 271],[ 92  87 161],[ 93  30 161],[ 93 161  30],[ 93 161  30],[ 93  30 161],[ 93  30 161],[ 93  30 161],[ 93  30 161],161,True,True,True,False,True,True,True,True,True,True,True,True
13,[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],[92 91 30],30,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 80 222  46],[15 46 80],[ 80 222  46],[228   1  80],[90 91 85],[46  1 80],[15 46 80],[15 46 80],[ 80 222  46],[ 80 222  46],[ 80 222  46],[ 80 222  46],80,True,True,True,True,False,True,True,True,True,True,True,True
15,[ 17 234 222],[256 234  94],[ 17 234 222],[222 234  94],[ 91  90 269],[222 234  94],[ 17 234 222],[256 234  94],[ 17 234 222],[ 17 234 222],[ 17 234 222],[ 17 234 222],234,True,True,True,True,False,True,True,True,True,True,True,True
16,[97 56  4],[ 4 89 56],[97 56  4],[176  56  86],[271  91   4],[ 4 56 86],[97 56  4],[ 4 89 56],[86 56  4],[97 56  4],[97 56  4],[97 56  4],176,False,False,False,True,False,False,False,False,False,False,False,False
17,[157 119  77],[187 119 154],[157  77 119],[ 68 157 119],[271  90 215],[ 68 119 157],[157 119  77],[187 119 154],[157  77 119],[157 119  77],[157 119  77],[157 119  77],68,False,False,False,True,False,True,False,False,False,False,False,False
18,[168  94 232],[232   6  94],[206  94 232],[  6 232  94],[ 91 271  57],[206 232  94],[168  94 232],[232   6  94],[206  94 232],[168  94 232],[168  94 232],[168  94 232],94,True,True,True,True,False,True,True,True,True,True,True,True
19,[224 120  46],[120 268  46],[224 120  46],[224 120 268],[ 92   2 271],[224 120  46],[268 224  46],[120 268  46],[224 120  46],[224 120  46],[224 120  46],[224 120  46],120,True,True,True,True,False,True,False,True,True,True,True,True
20,[220 157   1],[  1  52 253],[220 157   1],[ 52 157   1],[ 89  90 220],[253 157   1],[220 157   1],[  1  52 253],[220 157   1],[220 157   1],[220 157   1],[220 157   1],157,True,False,True,True,False,True,True,False,True,True,True,True
21,[ 77 246 119],[200 119 253],[ 77 246 119],[253 246 119],[ 92  87 246],[ 77 246 119],[246  77 119],[200 119 253],[ 77 246 119],[ 77 246 119],[ 77 246 119],[ 77 246 119],119,True,True,True,True,False,True,True,True,True,True,True,True
22,[208 228   1],[208 228   1],[208 228   1],[ 97 228   1],[90 91  1],[208 228   1],[228 208   1],[208 228   1],[208 228   1],[208 228   1],[208 228   1],[208 228   1],228,True,True,True,True,False,True,True,True,True,True,True,True
23,[253 222  89],[ 24  89 253],[253 222  89],[253 222  89],[90 91 89],[ 89 222 253],[253 222  89],[ 24  89 253],[253 222  89],[253 222  89],[253 222  89],[253 222  89],222,True,False,True,True,False,True,True,False,True,True,True,True
24,[ 93  32 236],[ 93  32 236],[ 93  32 236],[91 92 32],[ 91 271  44],[ 93  32 236],[ 93  32 236],[ 93  32 236],[ 93  32 236],[ 93  32 236],[ 93  32 236],[ 93  32 236],32,True,True,True,True,False,True,True,True,True,True,True,True
25,[271 206 215],[271 206 215],[271 206 215],[ 91 206 271],[271  90 215],[271 206 215],[271 206 215],[271 206 215],[271 206 215],[271 206 215],[271 206 215],[271 206 215],206,True,True,True,True,False,True,True,True,True,True,True,True
26,[271 259  57],[271  57 259],[271 259  57],[271  90 259],[271  90 259],[271  57 259],[271 259  57],[271  57 259],[271 259  57],[271 259  57],[271 259  57],[271 259  57],259,True,True,True,True,True,True,True,True,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[  4 244  96],[ 0 95 96],[  4  96 244],[ 95 244  96],[271  91 140],[  4  96 244],[260  96   4],[ 0 95 96],[  4  96 244],[  4 244  96],[  4 244  96],[  4 244  96],96,True,True,True,True,False,True,True,True,True,True,True,True
29,[ 18 120  94],[  0 154  94],[ 18 120  94],[ 61 120  94],[ 89  90 120],[ 18 120  94],[232 231  18],[  0 154  94],[ 18 120  94],[ 18 120  94],[ 18 120  94],[ 18 120  94],61,False,False,False,True,False,False,False,False,False,False,False,False
30,[157 167 119],[ 46 119 167],[157 167 119],[157 167 119],[ 92 167 271],[157 167 119],[167 119  46],[157 167 119],[157 167 119],[157 167 119],[157 167 119],[157 167 119],98,False,False,False,False,False,False,False,False,False,False,False,False
31,[221 206 214],[221 242 155],[228 206 214],[242 155 228],[271  90 215],[228 206 214],[215 221 214],[221 206 214],[228 206 214],[221 206 214],[221 206 214],[221 206 214],155,False,True,False,True,False,False,False,False,False,False,False,False
32,[ 77   4 244],[  4 242 248],[ 77   4 244],[  4 248 244],[ 92 271 143],[ 77   4 244],[221  77   4],[ 77   4 244],[ 77   4 244],[ 77   4 244],[ 77   4 244],[ 77   4 244],77,True,False,True,False,False,True,True,True,True,True,True,True
33,[215 206 119],[206 119  89],[ 89 206 119],[206  89 119],[271  90 259],[ 89 206 119],[ 10 215 119],[215 206 119],[ 89 206 119],[215 206 119],[215 206 119],[215 206 119],119,True,True,True,True,False,True,True,True,True,True,True,True
34,[ 95 215 244],[107  22  95],[ 22  95 244],[107  95 244],[271  90 215],[ 22  95 244],[ 95 215 244],[ 95 215 244],[ 22  95 244],[ 95 215 244],[ 95 215 244],[ 95 215 244],244,True,False,True,True,False,True,True,True,True,True,True,True
35,[221 260 120],[221 260 120],[221 260 120],[ 89  90 120],[271  91 199],[260 221 120],[260 221 120],[221 260 120],[221 260 120],[221 260 120],[221 260 120],[221 260 120],120,True,True,True,True,False,True,True,True,True,True,True,True
36,[ 95 260 244],[260  95 140],[140  95 244],[140 244  95],[271  92 244],[140  95 244],[208 244 260],[ 95 260 244],[140  95 244],[ 95 260 244],[ 95 260 244],[ 95 260 244],143,False,False,False,False,False,False,False,False,False,False,False,False
37,[271  94 232],[271  94 232],[271  94 232],[271  94 232],[271  90 259],[271  94 232],[ 94 271 232],[271  94 232],[271  94 232],[271  94 232],[271  94 232],[271  94 232],94,True,True,True,True,False,True,True,True,True,True,True,True
38,[164 119 259],[164 119 259],[164 119 259],[ 90 259 119],[ 89  90 119],[164 119 259],[259 119 164],[259 119 164],[164 119 259],[164 119 259],[164 119 259],[164 119 259],119,True,True,True,True,True,True,True,True,True,True,True,True
39,[163  57 215],[ 57 163 215],[163  57 215],[ 90  91 271],[271  90 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],[163  57 215],57,True,True,True,False,False,True,True,True,True,True,True,True
40,[ 88  92 215],[ 88 215  92],[ 88 215  92],[90 91 92],[90 91 92],[ 88 215  92],[ 88  92 215],[ 88  92 215],[ 88 215  92],[ 88  92 215],[ 88  92 215],[ 88  92 215],92,True,True,True,True,True,True,True,True,True,True,True,True
41,[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],[ 92  87 161],161,True,True,True,True,True,True,True,True,True,True,True,True
0,[221  56 177],[ 21 177  56],[221  56 177],[177  56 246],[92 91 30],[ 21 177  56],[ 21 177  56],[ 21 177  56],[221  56 177],[221  56 177],[221  56 177],[221  56 177],177,True,True,True,True,False,True,True,True,True,True,True,True
1,[243 105 177],[167 203 177],[243 177 105],[203 167 209],[ 90  91 209],[167 203 177],[167 203 177],[167 203 177],[243 105 177],[243 105 177],[243 105 177],[243 105 177],177,True,True,True,False,False,True,True,True,True,True,True,True
2,[107  67 241],[154 167 142],[107 241  67],[241 167 142],[ 92  91 241],[154 167 142],[154 167 142],[154 167 142],[107  67 241],[107  67 241],[107  67 241],[107  67 241],241,True,False,True,True,True,False,False,False,True,True,True,True
3,[ 24 105 118],[ 24 118 253],[ 24 105 118],[ 61  86 120],[ 91  90 105],[ 24 118 253],[ 24 118 253],[ 24 118 253],[ 24 105 118],[ 24 105 118],[ 24 105 118],[ 24 105 118],118,True,True,True,False,False,True,True,True,True,True,True,True
4,[ 72 105 195],[105 153  53],[ 72 105 195],[ 53  86 110],[90 91 92],[105 153  53],[105 153  53],[105 153  53],[ 72 105 195],[ 72 105 195],[ 72 105 195],[ 72 105 195],153,False,True,False,False,False,True,True,True,False,False,False,False
5,[ 16 110 195],[200  16   6],[200  16 195],[  6  17 110],[90 91 16],[ 16  17 195],[200  16   6],[200  16   6],[200  16 195],[ 16 110 195],[ 16 110 195],[ 16 110 195],110,True,False,False,True,False,False,False,False,False,True,True,True
6,[  6  18 184],[184  18   6],[185   6 184],[222 184  18],[90 91 84],[  4  18 184],[184  18   6],[184  18   6],[185   6 184],[  6  18 184],[  6  18 184],[  6  18 184],18,True,True,False,True,False,True,True,True,False,True,True,True
7,[103 105 184],[ 16 184   6],[103 105 184],[  6 184 105],[90 91 16],[103 105 184],[ 16 184   6],[ 16 184   6],[103 105 184],[103 105 184],[103 105 184],[103 105 184],103,True,False,True,False,False,True,False,False,True,True,True,True
8,[215 246 158],[246 215 158],[215 246 158],[ 87 158 246],[92 91 30],[215 246 158],[246 215 158],[246 215 158],[215 246 158],[215 246 158],[215 246 158],[215 246 158],158,True,True,True,True,False,True,True,True,True,True,True,True
9,[ 57 167 105],[ 57 105 167],[ 57 167 105],[271 105 167],[ 92 167 271],[ 57 167 105],[ 57 105 167],[ 57 105 167],[ 57 167 105],[ 57 167 105],[ 57 167 105],[ 57 167 105],105,True,True,True,True,False,True,True,True,True,True,True,True
10,[154 167  72],[ 72 167 154],[154 167  72],[ 72 167 154],[271  92 163],[167 154  72],[ 72 167 154],[ 72 167 154],[154 167  72],[154 167  72],[154 167  72],[154 167  72],72,True,True,True,True,False,True,True,True,True,True,True,True
11,[ 91  61 105],[ 91  61 105],[ 91  61 105],[ 91  61 105],[271  92  61],[ 91  61 105],[ 91  61 105],[ 91  61 105],[ 91  61 105],[ 91  61 105],[ 91  61 105],[ 91  61 105],105,True,True,True,True,False,True,True,True,True,True,True,True
12,[271  72 105],[271  72 105],[271  72 105],[271  72 105],[ 91  90 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],[271  72 105],72,True,True,True,True,False,True,True,True,True,True,True,True
13,[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],6,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 47 158 242],[140  47 142],[140 158 242],[244 142  47],[271  91 140],[  4 158 242],[140  47 142],[140  47 142],[140 158 242],[ 47 158 242],[ 47 158 242],[ 47 158 242],204,False,False,False,False,False,False,False,False,False,False,False,False
15,[ 17 212 184],[256 253  94],[ 17 212 184],[184  53  94],[ 90  91 256],[ 17 212 184],[ 94 212 184],[256 253  94],[ 17 212 184],[ 17 212 184],[ 17 212 184],[ 17 212 184],112,False,False,False,False,False,False,False,False,False,False,False,False
16,[243  65  67],[120 232  67],[243  65  67],[232 228 120],[ 89  90 123],[243  65  67],[243  65  67],[120 232  67],[243  65  67],[243  65  67],[243  65  67],[243  65  67],65,True,False,True,False,False,True,True,False,True,True,True,True
17,[16 46 52],[16 46  6],[16 46 52],[ 6 46 52],[ 90  91 260],[16 46 52],[ 6 16 52],[16 46  6],[16 46 52],[16 46 52],[16 46 52],[16 46 52],46,True,True,True,True,False,True,False,True,True,True,True,True
18,[222   4 105],[222   4  95],[222   4 105],[ 95 222  86],[271  91 129],[222   4 105],[ 95  86 105],[222   4  95],[222   4 105],[222   4 105],[222   4 105],[222   4 105],151,False,False,False,False,False,False,False,False,False,False,False,False
19,[203 146 107],[107 146 203],[203 146 107],[146  12 203],[ 91  92 170],[203 146 107],[146  12 107],[107 146 203],[203 146 107],[203 146 107],[203 146 107],[203 146 107],146,True,True,True,True,False,True,True,True,True,True,True,True
20,[206  82  24],[ 92 188  24],[188  82  24],[188  24 182],[ 90  91 182],[206  82  24],[182  82  24],[ 92 188  24],[188  82  24],[206  82  24],[206  82  24],[206  82  24],24,True,True,True,True,False,True,True,True,True,True,True,True
21,[158 103 242],[191 103 242],[158 103 242],[158 103 191],[90 91 84],[158 103 242],[158 103 242],[191 103 242],[158 103 242],[158 103 242],[158 103 242],[158 103 242],191,False,True,False,True,False,False,False,True,False,False,False,False
22,[ 28   4 242],[242   4 142],[ 28   4 242],[  4 244 142],[91 92 28],[142   4 242],[244 142 242],[242   4 142],[ 28   4 242],[ 28   4 242],[ 28   4 242],[ 28   4 242],4,True,True,True,True,False,True,False,True,True,True,True,True
23,[212  53 184],[129 184  53],[212  53 184],[129 184  53],[271  90 184],[ 53 212 184],[129 184 212],[129 184  53],[212  53 184],[212  53 184],[212  53 184],[212  53 184],184,True,True,True,True,True,True,True,True,True,True,True,True
24,[228 163 243],[243 163 228],[228 163 243],[ 91 243 228],[ 89  90 123],[228 163 243],[228 163 243],[243 163 228],[228 163 243],[228 163 243],[228 163 243],[228 163 243],123,False,False,False,False,True,False,False,False,False,False,False,False
25,[221  28  16],[221  28  16],[221  28  16],[92 28 16],[90 91 16],[221  28  16],[221  28  16],[221  28  16],[221  28  16],[221  28  16],[221  28  16],[221  28  16],221,True,True,True,False,False,True,True,True,True,True,True,True
26,[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91 271 262],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],[ 91  90 105],262,False,False,False,False,True,False,False,False,False,False,False,False
27,[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],91,True,True,True,True,True,True,True,True,True,True,True,True
28,[203  79  67],[253 203  79],[203  79  67],[ 79 228 165],[271  90 259],[203  79  67],[ 79 165  67],[253 203  79],[203  79  67],[203  79  67],[203  79  67],[203  79  67],79,True,True,True,True,False,True,True,True,True,True,True,True
29,[158 195 107],[119 154  80],[158 195 107],[154 119  80],[ 91 270 271],[158 195 107],[158 107 195],[119 154  80],[158 195 107],[158 195 107],[158 195 107],[158 195 107],195,True,False,True,False,False,True,True,False,True,True,True,True
30,[ 46 103 146],[146 248  95],[ 46 103 146],[146 157 248],[ 91 271 146],[ 46 103 146],[248 157 103],[ 46 103 146],[ 46 103 146],[ 46 103 146],[ 46 103 146],[ 46 103 146],46,True,False,True,False,False,True,False,True,True,True,True,True
31,[203  69  52],[ 89 203  69],[203  69  52],[203  69 165],[271  91 165],[203  69  52],[ 89 165  52],[203  69  52],[203  69  52],[203  69  52],[203  69  52],[203  69  52],69,True,True,True,True,False,True,False,True,True,True,True,True
32,[ 20  67 105],[105  67   4],[ 20  67 105],[ 67   4 120],[90 91 67],[ 20  67 105],[ 20 105  67],[ 20  67 105],[ 20  67 105],[ 20  67 105],[ 20  67 105],[ 20  67 105],67,True,True,True,True,True,True,True,True,True,True,True,True
33,[ 56 187  24],[187  24  56],[ 56 187  24],[224 157  56],[ 92 271 143],[224 187  24],[157 187  24],[ 56 187  24],[ 56 187  24],[ 56 187  24],[ 56 187  24],[ 56 187  24],56,True,True,True,True,False,False,False,True,True,True,True,True
34,[ 77 107 105],[105 107 167],[ 77 107 105],[105 107 167],[92 87 42],[212 105 107],[212 105 107],[ 77 107 105],[ 77 107 105],[ 77 107 105],[ 77 107 105],[ 77 107 105],107,True,True,True,True,False,True,True,True,True,True,True,True
35,[ 46 203 158],[ 92  46 203],[ 46 203 158],[191  46 203],[271  91 158],[ 46 203 158],[203  92 158],[ 46 203 158],[ 46 203 158],[ 46 203 158],[ 46 203 158],[ 46 203 158],191,False,False,False,True,False,False,False,False,False,False,False,False
36,[259 188 253],[259 188 253],[259 188 253],[188 228 253],[ 92  91 173],[259 188 253],[259 188 253],[259 188 253],[259 188 253],[259 188 253],[259 188 253],[259 188 253],173,False,False,False,False,True,False,False,False,False,False,False,False
37,[ 28 154 271],[271  28 154],[ 28 154 271],[ 28 271 154],[271  91 199],[ 28 154 271],[271  28 154],[ 28 154 271],[ 28 154 271],[ 28 154 271],[ 28 154 271],[ 28 154 271],271,True,True,True,True,True,True,True,True,True,True,True,True
38,[208 198 129],[208 198 129],[208 198 129],[271  91 129],[90 91 84],[208 198 129],[208 198 129],[208 198 129],[208 198 129],[208 198 129],[208 198 129],[208 198 129],84,False,False,False,False,True,False,False,False,False,False,False,False
39,[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[90 91 52],[ 92  52 222],[222  52  92],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],52,True,True,True,True,True,True,True,True,True,True,True,True
40,[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[271  91   4],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],4,True,True,True,True,True,True,True,True,True,True,True,True
41,[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],187,True,True,True,True,True,True,True,True,True,True,True,True
0,[127 238 150],[ 16 238 150],[127 238 150],[222 238 150],[ 90 271 149],[ 16 238 150],[ 16 238 150],[ 16 238 150],[127 238 150],[127 238 150],[127 238 150],[127 238 150],127,True,False,True,False,False,False,False,False,True,True,True,True
1,[ 60  10 267],[146  26  93],[ 60 267  10],[146 244  68],[ 92 271  60],[146  26  93],[146  26  93],[146  26  93],[ 60 267  10],[ 60  10 267],[ 60  10 267],[ 60  10 267],93,False,True,False,False,False,True,True,True,False,False,False,False
2,[168 187 158],[187 238 101],[ 10 187 158],[ 22 238 101],[ 90  91 101],[187 238 101],[187 238 101],[187 238 101],[168 187 158],[168 187 158],[168 187 158],[168 187 158],168,True,False,False,False,False,False,False,False,True,True,True,True
3,[163 236 260],[222  24 140],[ 20 236 260],[ 20 222 157],[91 92 62],[222  24 140],[222  24 140],[222  24 140],[ 20 260 236],[163 236 260],[163 236 260],[163 236 260],260,True,False,True,False,False,False,False,False,True,True,True,True
4,[164 221 218],[188  16 167],[164 221 218],[105 165 167],[90 91 16],[188  16 167],[188  16 167],[188  16 167],[164 218 221],[164 221 218],[164 221 218],[164 221 218],221,True,False,True,False,False,False,False,False,True,True,True,True
5,[ 22  20 163],[22 46 96],[ 22  20 163],[ 46  96 246],[ 90  91 271],[ 20 163  96],[22 46 96],[22 46 96],[ 22  20 163],[ 22  20 163],[ 22  20 163],[ 22  20 163],96,False,True,False,True,False,True,True,True,False,False,False,False
6,[ 86 242 198],[205 242   4],[181 242 198],[205   4  86],[92 87 42],[ 86 242 198],[205 242   4],[205 242   4],[181 242 198],[ 86 242 198],[ 86 242 198],[ 86 242 198],198,True,False,True,False,False,True,False,False,True,True,True,True
7,[ 72  96 163],[231 187  96],[163 244  96],[231  96 244],[271  91 231],[ 72  96 163],[231 187  96],[231 187  96],[163 244  96],[ 72  96 163],[ 72  96 163],[ 72  96 163],72,True,False,False,False,False,True,False,False,False,True,True,True
8,[150 161 267],[267 150 222],[150 161 267],[149 150 222],[ 91 271 262],[150 161 267],[267 150 222],[267 150 222],[150 161 267],[150 161 267],[150 161 267],[150 161 267],150,True,True,True,True,False,True,True,True,True,True,True,True
9,[146  60 267],[ 60 267 146],[146  60 267],[257 244 146],[ 92 271  60],[244  60 267],[ 60 267 146],[ 60 267 146],[146  60 267],[146  60 267],[146  60 267],[146  60 267],60,True,True,True,False,True,True,True,True,True,True,True,True
10,[ 98 101  77],[ 98  77 101],[ 98 101  77],[ 98  77 101],[ 91 271  23],[ 98 101  77],[ 98  77 101],[ 98  77 101],[ 98 101  77],[ 98 101  77],[ 98 101  77],[ 98 101  77],87,False,False,False,False,False,False,False,False,False,False,False,False
11,[ 62 163 222],[163  62 222],[ 62 163 222],[ 88  62 222],[ 89  90 222],[ 62 163 222],[163  62 222],[163  62 222],[ 62 163 222],[ 62 163 222],[ 62 163 222],[ 62 163 222],163,True,True,True,False,False,True,True,True,True,True,True,True
12,[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271  91 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],[271 257 165],257,True,True,True,True,False,True,True,True,True,True,True,True
13,[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],163,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 56 267 156],[118  95 167],[118 267 156],[ 56 165 167],[271  90 268],[118 267 156],[118  95 167],[118  95 167],[118 267 156],[ 56 267 156],[ 56 267 156],[ 56 267 156],118,False,True,True,False,False,True,True,True,True,False,False,False
15,[161 198  48],[188 160 142],[161 198  48],[244 157 142],[92 91 64],[161  48 198],[161  48 198],[188 160 142],[161  48 198],[161 198  48],[161 198  48],[161 198  48],48,True,False,True,False,False,True,True,False,True,True,True,True
16,[243  52  60],[ 56 154 167],[271  56  60],[246 120 167],[92 87 25],[167 120  60],[271  60  56],[ 56 154 167],[271  56  60],[243  52  60],[243  52  60],[243  52  60],25,False,False,False,False,True,False,False,False,False,False,False,False
17,[265  19 236],[ 19 140  94],[265  19 236],[228 246  94],[271  90 259],[ 19  94 236],[265 236  19],[ 19 140  94],[265  19 236],[265  19 236],[265  19 236],[265  19 236],19,True,True,True,False,False,True,True,True,True,True,True,True
18,[198 221  73],[ 73   4 146],[198 221  73],[146  61   1],[271  91   4],[198 221  73],[198 221  73],[ 73   4 146],[198 221  73],[198 221  73],[198 221  73],[198 221  73],73,True,True,True,False,False,True,True,True,True,True,True,True
19,[231 203 164],[231 203  89],[231 203 164],[231 203 165],[271  91 165],[ 89 165 164],[231 203 164],[231 203  89],[231 203 164],[231 203 164],[231 203 164],[231 203 164],212,False,False,False,False,False,False,False,False,False,False,False,False
20,[ 77 161 220],[178 140  94],[140 161 220],[246 178  94],[ 91 271  94],[ 94 161 220],[ 94 161 220],[178 140  94],[140 161 220],[ 77 161 220],[ 77 161 220],[ 77 161 220],220,True,False,True,False,False,True,True,False,True,True,True,True
21,[ 72 105  67],[ 72 105  67],[ 72 105  67],[ 67  72 244],[271  92 244],[ 72 105  67],[ 72 105  67],[ 72 105  67],[ 72 105  67],[ 72 105  67],[ 72 105  67],[ 72 105  67],72,True,True,True,True,False,True,True,True,True,True,True,True
22,[107 267 156],[267 107 167],[107 267 156],[107 165 167],[ 90  91 107],[107 267 156],[107 267 156],[267 107 167],[107 267 156],[107 267 156],[107 267 156],[107 267 156],107,True,True,True,True,True,True,True,True,True,True,True,True
23,[188 157 161],[157  28 188],[ 28 188 161],[188 244 157],[ 92  87 161],[244 157 161],[244 157 161],[157  28 188],[ 28 188 161],[188 157 161],[188 157 161],[188 157 161],161,True,False,True,False,True,True,True,False,True,True,True,True
24,[167 271  60],[ 60 271 167],[167 271  60],[271 167 246],[ 92 271  60],[246 167  60],[167 271  60],[ 60 271 167],[167 271  60],[167 271  60],[167 271  60],[167 271  60],60,True,True,True,False,True,True,True,True,True,True,True,True
